,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：a2005,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
16,,华信期货,900,,-700,,
17,,国泰君安,842,,3,,
18,,广州金控,780,,0,,
19,,光大期货,769,,230,,
20,,东吴期货,487,,0,,
总计,,,,290327,,697,,

名次,,会员简称,持卖单量,增减,,
1,,东证期货,41797,,-16,,
2,,浙商期货,29005,,0,,
3,,中信期货,22414,,-48,,
4,,格林大华,22376,,-69,,
5,,国海良时,19199,,0,,
6,,申银万国,18997,,-70,,
7,,弘业期货,18795,,41,,
8,,中大期货,18165,,-244,,
9,,方正中期,17738,,1489,,
10,,海通期货,17121,,100,,
11,,鲁证期货,16314,,-130,,
12,,新湖期货,14216,,-323,,
13,,国投安信,10023,,0,,
14,,永安期货,7639,,-137,,
15,,瑞达期货,2260,,29,,
16,,混沌天成,2000,,100,,
17,,国泰君安,1689,,-1,,
18,,前海期货,1380,,0,,
19,,华金期货,947,,-53,,
20,,华信期货,900,,-700,,
总计,,,,282975,,-32,,



会员类别,总成交量,增减,,
期货公司会员,74748,,-16582,,

会员类别,总持买单量,增减,,
期货公司会员,290327,,697,,

会员类别,总持卖单量,增减,,
期货公司会员,282975,,-32,,

,,,,,,,,大连商品交易所 成交量_买持仓_卖持仓排名,

合约代码：i2001,,Date：2019-11-19,

,,,期货公司会员,

名次,,会员简称,成交量,,增减,,
1,,冠通期货,157786,,-33035,,
2,,国富期货,144522,,-1828,,
3,,东证期货,102343,,-7128,,
4,,光大期货,100042,,11173,,
5,,国泰君安,79285,,-14298,,
6,,方正中期,74430,,13447,,
7,,海通期货,71259,,3402,,
8,,永安期货,64822,,4120,,
9,,中信期货,60618,,-11320,,
10,,申银万国,46191,,-3151,,
11,,银河期货,42463,,19198,,
12,,华泰期货,39558,,2211,,
13,,东海期货,37934,,-7160,,
14,,一德期货,29824,,475,,
15,,徽商期货,28045,,-6461,,
16,,广发期货,22263,,4146,,
17,,国信期货,20563,,10033,,
18,,兴证期货,17891,,-1917,,
19,,华安期货,17710,,-2577,,
20,,中粮期货,17641,,7859,,
总计,,,,1175190,-12811,,

名次,,会员简称,持买单量,增减,,
1,,永安期货,55868,,-22677,,
2,,申银万国,54514,,3323,,
3,,银河期货,42449,,6705,,
4,,中信期货,38829,,-355,,
5,,国富期货,36461,,-8060,,
6,,东证期货,30831,,487,,
7,,光大期货,26661,,4436,,
8,,国泰君安,26165,,-6883,,
9,,乾坤期货,25982,,250,,
