商品名称:铜                  ,合约代码:cuall                         ,,,,,,,,,
,期货公司  ,期货公司  ,182357,6637,期货公司  ,期货公司  ,260868,3665,期货公司  ,期货公司  ,267278,3860,
商品名称:铜                  ,合约代码:cuall                         ,,,,,,,,,
,非期货公司,非期货公司,1501,-145,非期货公司,非期货公司,10469,173,非期货公司,非期货公司,4059,-22,
19,0249      ,先融期货  ,40,40,0322      ,新纪元    ,199,0,0107      ,新世纪    ,127,0,
20,0089      ,金元期货  ,39,2,0385      ,国富期货  ,160,40,0138      ,先锋期货  ,98,0,
合计:al2004                        ,,,3560,1857,,,13266,-265,,,14193,87,
商品名称:锌                  ,合约代码:znall                         ,,,,,,,,,
,期货公司  ,期货公司  ,421940,-28156,期货公司  ,期货公司  ,248525,2724,期货公司  ,期货公司  ,250155,3264,
商品名称:锌                  ,合约代码:znall                         ,,,,,,,,,
,非期货公司,非期货公司,540,-1610,非期货公司,非期货公司,1630,540,非期货公司,非期货公司,0,0,
RANK1合约代码:zn1912                        ,,,,,,,,,,
1,0253      ,华泰期货  ,13749,-1228,0103      ,永安期货  ,3141,-307,0009      ,五矿经易  ,4304,-820,
2,0163      ,东证期货  ,6115,-96,0148      ,中信期货  ,2676,-1553,0103      ,永安期货  ,2914,-608,
3,0148      ,中信期货  ,6009,724,0009      ,五矿经易  ,2336,-410,0121      ,格林大华  ,2366,334,
4,0009      ,五矿经易  ,4092,-412,0003      ,建信期货  ,2274,267,0253      ,华泰期货  ,2283,454,
5,0277      ,一德期货  ,3711,-279,0049      ,金瑞期货  ,2202,-613,0096      ,南华期货  ,2195,-127,
6,0081      ,海通期货  ,2745,-571,0277      ,一德期货  ,1665,-532,0148      ,中信期货  ,1869,-222,
7,0077      ,新湖期货  ,2130,-873,0082      ,国投安信  ,1408,93,0095      ,国金期货  ,1619,-37,
8,0082      ,国投安信  ,1975,40,0139      ,中粮期货  ,1258,114,0277      ,一德期货  ,1598,-505,
9,0319      ,西部期货  ,1607,148,0047      ,迈科期货  ,1206,17,0006      ,华鑫期货  ,1381,75,
10,0320      ,大有期货  ,1406,-185,0059      ,瑞达期货  ,1140,-5,0139      ,中粮期货  ,1200,-249,
11,0103      ,永安期货  ,1257,-796,0272      ,银河期货  ,1135,-110,0240      ,广发期货  ,1166,-389,
12,0003      ,建信期货  ,854,-652,0136      ,信达期货  ,970,2,0081      ,海通期货  ,1000,7,
13,0139      ,中粮期货  ,835,206,0169      ,兴业期货  ,951,-45,0058      ,国贸期货  ,991,-37,
14,0308      ,国信期货  ,818,-240,0042      ,光大期货  ,928,31,0272      ,银河期货  ,915,-49,
15,0096      ,南华期货  ,781,53,0096      ,南华期货  ,846,-28,0134      ,大越期货  ,820,-19,
16,0049      ,金瑞期货  ,750,611,0372      ,中银国际  ,761,2,0025      ,铜冠金源  ,636,60,
17,0004      ,国泰君安  ,683,-108,0163      ,东证期货  ,743,-318,0320      ,大有期货  ,606,241,
18,0034      ,方正中期  ,643,-745,0253      ,华泰期货  ,627,-371,0125      ,中大期货  ,585,-59,
19,0116      ,首创期货  ,639,387,0311      ,兴证期货  ,588,-41,0003      ,建信期货  ,544,25,
20,0316      ,东兴期货  ,619,599,0274      ,中辉期货  ,496,-7,0163      ,东证期货  ,473,-83,
合计:zn1912                        ,,,51418,-3417,,,27351,-3814,,,29465,-2008,
RANK1合约代码:zn2001                        ,,,,,,,,,,
1,0253      ,华泰期货  ,44927,-2130,0148      ,中信期货  ,9326,326,0253      ,华泰期货  ,10241,-359,
2,0148      ,中信期货  ,20495,-1655,0308      ,国信期货  ,8182,75,0004      ,国泰君安  ,8440,556,
3,0311      ,兴证期货  ,16768,706,0253      ,华泰期货  ,4645,870,0009      ,五矿经易  ,6137,1467,
4,0163      ,东证期货  ,15375,180,0009      ,五矿经易  ,4445,239,0148      ,中信期货  ,5854,577,
5,0081      ,海通期货  ,15134,270,0272      ,银河期货  ,4097,230,0103      ,永安期货  ,5521,656,
6,0009      ,五矿经易  ,11752,-2187,0277      ,一德期货  ,3924,1272,0163      ,东证期货  ,4887,130,
7,0034      ,方正中期  ,10718,505,0103      ,永安期货  ,3517,-112,0082      ,国投安信  ,3897,-11,
8,0272      ,银河期货  ,7137,104,0047      ,迈科期货  ,3478,36,0081      ,海通期货  ,3892,1075,
9,0088      ,东亚期货  ,6422,434,0141      ,西南期货  ,3028,42,0077      ,新湖期货  ,3380,114,
10,0295      ,美尔雅    ,6220,1093,0088      ,东亚期货  ,2903,3,0311      ,兴证期货  ,3206,208,
11,0385      ,国富期货  ,5490,814,0159      ,倍特期货  ,2741,22,0047      ,迈科期货  ,2430,-301,
12,0096      ,南华期货  ,4112,962,0049      ,金瑞期货  ,2718,109,0034      ,方正中期  ,2395,-63,
13,0004      ,国泰君安  ,3740,-2077,0139      ,中粮期货  ,2609,157,0252      ,混沌天成  ,2281,-8,
